ClusterNumber,Precision,Fitness,NoiseThreshold
4,0.179,1.0,0.0
4,0.431,0.927,0.1
4,0.479,0.913,0.2
4,0.491,0.897,0.3
4,0.195,0.991,0.4
4,0.262,0.973,0.5
4,0.273,0.78,0.6
4,0.604,0.759,0.7
4,0.604,0.732,0.8
4,0.621,0.71,0.99
4,0.604,0.669,0.9
5,0.151,1.0,0.0
5,0.337,0.906,0.1
5,0.536,0.859,0.2
5,0.538,0.858,0.3
5,0.354,0.825,0.4
5,0.318,0.791,0.5
5,0.346,0.71,0.6
5,0.234,0.728,0.7
5,0.2,0.69,0.8
5,0.952,0.606,0.99
5,0.952,0.606,0.9
6,0.076,1.0,0.0
6,0.294,0.881,0.1
6,0.28,0.904,0.2
6,0.191,0.883,0.3
6,0.255,0.85,0.4
6,0.324,0.818,0.5
6,0.234,0.792,0.6
6,0.234,0.792,0.7
6,0.0,0.748,0.8
6,0.0,0.709,0.99
6,0.0,0.735,0.9
